flr/usdt,eth/usdt,btc/usdt,timestamp
0.0164934,2187.077,85992.64,1741493740
0.0164954,2187.077,85992.64,1741493742
0.0164974,2186.81,85992.64,1741493746
0.0164953,2186.543,85992.64,1741493754
0.0164932,2186.543,85992.64,1741493758
0.0164911,2186.809,86003.13,1741493790
0.016489,2187.075,86003.13,1741493797
0.0164869,2187.341,86013.62,1741493799
0.0164848,2187.608,86013.62,1741493807
0.0164848,2187.875,86013.62,1741493809
0.0164868,2188.142,86013.62,1741493827
0.0164888,2188.409,86013.62,1741493835
0.0164908,2188.676,86013.62,1741493837
0.0164928,2188.943,86003.12,1741493847
0.0164948,2189.21,86013.61,1741493860
0.0164948,2189.477,86024.1,1741493862
0.0164948,2189.744,86034.6,1741493868
0.0164968,2190.011,86034.6,1741493872
0.0164988,2190.278,86034.6,1741493876
0.0165008,2190.01,86024.09,1741493882
0.0165048,2189.474,86003.09,1741493919
0.0165027,2189.206,86003.09,1741493933
0.0165006,2188.938,86003.09,1741493945
0.0164985,2188.67,86003.09,1741493961
0.0164964,2188.402,85992.59,1741493973
0.0164943,2188.134,85982.09,1741493975
0.0164922,2188.134,85982.09,1741494000
0.0164901,2188.134,85982.09,1741494002
0.016488,2187.866,85971.59,1741494023
0.01649,2187.598,85961.09,1741494029
0.0164879,2187.33,85950.59,1741494041
0.0164858,2187.063,85940.09,1741494043
0.0164858,2186.796,85929.6,1741494045
0.0164858,2186.529,85919.11,1741494049
0.0164858,2186.262,85919.11,1741494059
0.0164858,2186.528,85940.07,1741494065
0.0164858,2187.06,85950.56,1741494071
0.0164858,2187.06,85940.06,1741494077
0.0164878,2187.06,85940.06,1741494079
0.0164857,2187.326,85940.06,1741494085
0.0164877,2187.593,85950.55,1741494109
0.0164917,2187.86,85971.53,1741494117
0.0164937,2187.592,85961.03,1741494123
0.0164957,2187.859,85971.52,1741494140
0.0164977,2188.126,85982.01,1741494142
0.0164997,2188.126,85982.01,1741494146
0.0165017,2187.858,85971.51,1741494174
0.0165037,2187.59,85961.01,1741494176
0.0165057,2187.322,85961.01,1741494210
0.0165057,2187.055,85950.51,1741494212
0.0165036,2186.521,85929.52,1741494216
0.0165036,2186.254,85940.0,1741494221
0.0165036,2185.987,85929.51,1741494242
0.0165056,2185.72,85939.99,1741494263
0.0165056,2185.453,85950.48,1741494296
0.0165056,2185.186,85960.97,1741494298
0.0165056,2184.919,85971.46,1741494300
0.0165076,2184.919,85981.95,1741494302
0.0165055,2185.185,85971.45,1741494304
0.0165034,2185.451,85960.95,1741494306
0.0165054,2185.717,85971.44,1741494332
0.0165074,2185.983,85981.93,1741494334
0.0165094,2186.249,85992.42,1741494336
0.0165114,2186.515,86002.91,1741494338
